wavelength_m,power_dBm
7.79064e-07,-59.6969576
7.79072e-07,-58.768262
7.7908e-07,-58.4274376
7.79088e-07,-58.4409719
7.79096e-07,-58.6315076
7.79104e-07,-58.7583887
7.79112e-07,-58.5332652
7.7912e-07,-58.2836667
7.79128e-07,-57.9561829
7.79136e-07,-58.0682247
7.79144e-07,-57.9332573
7.79152e-07,-58.0548769
7.7916e-07,-58.0133037
7.79168e-07,-58.2188207
7.79176e-07,-58.0718129
7.79184e-07,-59.0675552
7.79192e-07,-59.0822457
7.792e-07,-59.477738
7.79208e-07,-59.5011983
7.79216e-07,-58.9399184
7.79224e-07,-58.918518
7.79232e-07,-58.8308768
7.7924e-07,-59.6629543
7.79248e-07,-59.2277695
7.79256e-07,-59.3674856
7.79264e-07,-59.7373263
7.79272e-07,-60.0072933
7.7928e-07,-59.1138826
7.79288e-07,-59.7826074
7.79296e-07,-60.1148784
7.79304e-07,-59.5867349
7.79312e-07,-59.1493877
7.7932e-07,-59.6218789
7.79328e-07,-58.567382
7.79336e-07,-59.1299886
7.79344e-07,-59.5081391
7.79352e-07,-59.9741062
7.7936e-07,-59.7644734
7.79368e-07,-59.6604733
7.79376e-07,-60.421708
7.79384e-07,-60.0908893
7.79392e-07,-60.0109972
7.794e-07,-59.5695072
7.79408e-07,-59.5631768
7.79416e-07,-58.6059505
7.79424e-07,-59.3996144
7.79432e-07,-59.166595
7.7944e-07,-59.3033022
7.79448e-07,-59.3387896
7.79456e-07,-58.9457421
7.79464e-07,-58.768763
7.79472e-07,-58.9402485
7.7948e-07,-58.4118044
7.79488e-07,-59.1854471
7.79496e-07,-59.0419991
7.79504e-07,-59.0946775
7.79512e-07,-59.6554564
7.7952e-07,-59.5905902
7.79528e-07,-59.4078855
7.79536e-07,-59.9372449
7.79544e-07,-59.7508974
7.79552e-07,-59.7527694
7.7956e-07,-59.1872501
7.79568e-07,-60.1301466
7.79576e-07,-58.8083067
7.79584e-07,-58.5142571
7.79592e-07,-58.4449896
7.796e-07,-58.7745536
7.79608e-07,-59.4047063
7.79616e-07,-59.0764222
7.79624e-07,-58.6789306
7.79632e-07,-59.4235696
7.7964e-07,-58.8410842
7.79648e-07,-58.9649651
7.79656e-07,-60.0154344
7.79664e-07,-59.7407596
7.79672e-07,-59.8261953
7.7968e-07,-59.1473065
7.79688e-07,-59.4469969
7.79696e-07,-59.6338301
7.79704e-07,-59.6131851
7.79712e-07,-59.3868282
7.7972e-07,-59.0665041
7.79728e-07,-59.0689386
7.79736e-07,-59.0948016
7.79744e-07,-59.9718534
7.79752e-07,-59.8285652
7.7976e-07,-60.857039
7.79768e-07,-60.9441182
7.79776e-07,-60.9270156
7.79784e-07,-60.790917
7.79792e-07,-59.976166
7.798e-07,-60.266715
7.79808e-07,-59.0416841
7.79816e-07,-58.9100609
7.79824e-07,-58.7147657
7.79832e-07,-59.9466984
7.7984e-07,-59.4398558
7.79848e-07,-59.2145759
7.79856e-07,-60.0358247
7.79864e-07,-59.7165637
7.79872e-07,-60.0472431
7.7988e-07,-59.5887439
7.79888e-07,-59.9114976
7.79896e-07,-61.1111899
7.79904e-07,-60.3175281
7.79912e-07,-60.3386197
7.7992e-07,-60.6938355
7.79928e-07,-60.8836335
7.79936e-07,-60.2999625
7.79944e-07,-59.710833
7.79952e-07,-59.1109997
7.7996e-07,-59.4936403
7.79968e-07,-59.0254828
7.79976e-07,-59.6298936
7.79984e-07,-59.3974225
7.79992e-07,-58.6913087
7.8e-07,-59.3032382
7.80008e-07,-59.2335772
7.80016e-07,-59.21962
7.80024e-07,-59.3929479
7.80032e-07,-59.7143301
7.8004e-07,-58.7438223
7.80048e-07,-58.4995056
7.80056e-07,-58.7082019
7.80064e-07,-58.718806
7.80072e-07,-58.7030177
7.8008e-07,-58.0245611
7.80088e-07,-58.4334039
7.80096e-07,-58.4915507
7.80104e-07,-58.9255234
7.80112e-07,-58.9651314
7.8012e-07,-59.4027354
7.80128e-07,-59.0230129
7.80136e-07,-59.109272
7.80144e-07,-59.5419403
7.80152e-07,-59.7148821
7.8016e-07,-59.2937825
7.80168e-07,-59.2565954
7.80176e-07,-59.1593372
7.80184e-07,-58.5105741
7.80192e-07,-58.7912498
7.802e-07,-58.3312549
7.80208e-07,-58.1848778
7.80216e-07,-58.1248373
7.80224e-07,-58.3009924
7.80232e-07,-58.3922799
7.8024e-07,-58.90013
