wavelength_m,power_dBm
7.78064e-07,-29.5614281
7.78072e-07,-29.5829251
7.7808e-07,-29.5898901
7.78088e-07,-29.5717706
7.78096e-07,-29.5324041
7.78104e-07,-29.488158
7.78112e-07,-29.4562158
7.7812e-07,-29.4358423
7.78128e-07,-29.4145533
7.78136e-07,-29.3763431
7.78144e-07,-29.339689
7.78152e-07,-29.3070436
7.7816e-07,-29.326452
7.78168e-07,-29.3420756
7.78176e-07,-29.3633634
7.78184e-07,-29.3836569
7.78192e-07,-29.39542
7.782e-07,-29.4353059
7.78208e-07,-29.4560116
7.78216e-07,-29.4615606
7.78224e-07,-29.4558824
7.78232e-07,-29.451902
7.7824e-07,-29.4634753
7.78248e-07,-29.4689689
7.78256e-07,-29.4692344
7.78264e-07,-29.4425909
7.78272e-07,-29.4315359
7.7828e-07,-29.4068308
7.78288e-07,-29.4003822
7.78296e-07,-29.3862652
7.78304e-07,-29.3446409
7.78312e-07,-29.3193138
7.7832e-07,-29.2830755
7.78328e-07,-29.2985878
7.78336e-07,-29.3131799
7.78344e-07,-29.3309784
7.78352e-07,-29.3309016
7.7836e-07,-29.3312284
7.78368e-07,-29.3553939
7.78376e-07,-29.3809199
7.78384e-07,-29.3928225
7.78392e-07,-29.3688117
7.784e-07,-29.3486975
7.78408e-07,-29.3251666
7.78416e-07,-29.3221521
7.78424e-07,-29.3055609
7.78432e-07,-29.2749064
7.7844e-07,-29.2450992
7.78448e-07,-29.2364495
7.78456e-07,-29.2715097
7.78464e-07,-29.3156271
7.78472e-07,-29.3451719
7.7848e-07,-29.3588972
7.78488e-07,-29.3784757
7.78496e-07,-29.402388
7.78504e-07,-29.4258935
7.78512e-07,-29.4470635
7.7852e-07,-29.4491547
7.78528e-07,-29.4361465
7.78536e-07,-29.4066026
7.78544e-07,-29.4133043
7.78552e-07,-29.4174125
7.7856e-07,-29.4168484
7.78568e-07,-29.4321531
7.78576e-07,-29.4317795
7.78584e-07,-29.4642245
7.78592e-07,-29.495532
7.786e-07,-29.5243427
7.78608e-07,-29.5273293
7.78616e-07,-29.534575
7.78624e-07,-29.5626402
7.78632e-07,-29.6050982
7.7864e-07,-29.6533334
7.78648e-07,-29.6672535
7.78656e-07,-29.6787575
7.78664e-07,-29.6894859
7.78672e-07,-29.7236838
7.7868e-07,-29.7437091
7.78688e-07,-29.7269123
7.78696e-07,-29.7260316
7.78704e-07,-29.7264948
7.78712e-07,-29.7610756
7.7872e-07,-29.7806322
7.78728e-07,-29.8031682
7.78736e-07,-29.8183024
7.78744e-07,-29.8268162
7.78752e-07,-29.8382133
7.7876e-07,-29.863114
7.78768e-07,-29.8830819
7.78776e-07,-29.8695592
7.78784e-07,-29.8724816
7.78792e-07,-29.8976862
7.788e-07,-29.954685
7.78808e-07,-29.9972219
7.78816e-07,-30.0196992
7.78824e-07,-30.0424397
7.78832e-07,-30.0650472
7.7884e-07,-30.1169465
7.78848e-07,-30.1489212
7.78856e-07,-30.1653469
7.78864e-07,-30.1758434
7.78872e-07,-30.1991615
7.7888e-07,-30.2366716
7.78888e-07,-30.2933726
7.78896e-07,-30.3364157
